Id,Region,Garden/Balcony,Base Rent,Construction Year,Living Space,Lift and Floor,Rooms,Parking Spaces,Condition,Additional Cost,nrPicks
107329486,Freiburg im Breisgau,balcony,1020,1992,84,no lift + floor 2,3,1,well kept,215,6
107340916,Freiburg im Breisgau,balcony,970,2018,66.9,lift + floor 2,2,1,first time use,145,6
107351807,Schwäbisch Hall Kreis,balcony,650,1989,79,no lift + floor 2,3.5,1,fully renovated,150,6
107364554,Bodenseekreis,balcony,890,2001,80,no lift + floor 2,3,1,well kept,130,6
107367397,Rems Murr Kreis,balcony,1400,2004,120,no lift + floor 2,4.5,1,well kept,220,7
107372217,Enzkreis,balcony,650,1982,107,lift + floor 1,3.5,1,well kept,170,6
107372519,Ludwigsburg Kreis,balcony,790,1992,76.9,no lift + floor 2,3.5,1,well kept,130,7
107373115,Ortenaukreis,both,700,1965,127,no lift + floor 2,5,1,well kept,220,7
107378913,Stuttgart,balcony,1400,1971,128,no lift + floor 3,4.5,1,well kept,275,7
107379265,Reutlingen Kreis,both,700,2018,70,lift + floor 0,3,1,first time use,250,7
107379869,Waldshut Kreis,balcony,940,1973,90,no lift + floor 1,4,1,refurbished,200,6
107396948,Enzkreis,both,880,2018,63,no lift + floor 2,2,1,mint condition,140,6
107801877,Stuttgart,both,850,1990,60,no lift + floor 0,2,1,well kept,110,7
107840689,Ortenaukreis,balcony,865,2018,103,lift + floor 0,3,1,well kept,255,7
108022000,Ostalbkreis,balcony,440,1995,61,no lift + floor 1,2,1,well kept,150,6
108098857,Stuttgart,balcony,940,1953,54,no lift + floor 4,2,1,well kept,90,7
108181893,Schwäbisch Hall Kreis,both,1150,2018,121,no lift + floor 1,3.5,2,first time use,242,7
108252372,Esslingen Kreis,balcony,1730,1978,140,lift + floor 3,4,2,well kept,350,7
108601636,Heidelberg,balcony,1150,1989,114.5,lift + floor 2,3.5,1,well kept,160,7
108666148,Enzkreis,both,940,2016,105,no lift + floor 0,3,1,mint condition,130,7
108758196,Ravensburg Kreis,balcony,700,2017,70,lift + floor 0,2,1,mint condition,141,6
108774299,Schwäbisch Hall Kreis,balcony,1121,2019,118,no lift + floor 2,3.5,2,first time use,236,7
109139359,Ostalbkreis,balcony,950,1970,100,no lift + floor 0,3,1,fully renovated,210,7
109342397,Schwäbisch Hall Kreis,both,850,1991,134,no lift + floor 1,4,1,well kept,160,7
109372079,Enzkreis,balcony,750,1973,98,lift + floor 2,3,1,well kept,200,6
109419241,Schwäbisch Hall Kreis,balcony,720,2019,85,lift + floor 1,2,1,first time use,152,7
109507258,Waldshut Kreis,balcony,1130,2017,95,lift + floor 4,3.5,1,first time use,285,7
109540888,Breisgau Hochschwarzwald Kreis,balcony,1080,2019,90,lift + floor 3,3,1,first time use,180,7
109626709,Schwäbisch Hall Kreis,both,720,2008,75,lift + floor 0,3,1,mint condition,180,7
109725524,Reutlingen Kreis,none,1150,1979,124,no lift + floor 2,4,3,first time use,250,7
109743827,Waldshut Kreis,balcony,1100,1903,130,no lift + floor 4,4,1,fully renovated,270,7
